brand,models
AUDI,"['Q3', 'A6', 'A3', 'A4']"
BMW,"['IX1', 'X1', 'X2', '320I', '316I', '120I', '118I', 'X4', '328I']"
CHERY,"['TIGGO 7', 'TIGGO 8', 'TIGGO 5X', 'TIGGO', 'TIGGO 2', 'TIGGO 5X PRO', 'ARRIZO 6 PRO', 'TIGGO 7 PRO']"
CHEVROLET,"['ONIX', 'S10', 'CAPTIVA', 'MONTANA', 'TRACKER', 'CRUZE', 'EQUINOX', 'SPIN', 'CORSA', 'CELTA', 'JOY', 'PRISMA', 'D20', 'TRAILBLAZER']"
CITROEN,"['C3', 'C4 CACTUS', 'AIRCROSS']"
FIAT,"['TORO', 'MOBI', 'ARGO', 'STILO', 'PALIO', 'UNO', 'PULSE', 'STRADA', 'FASTBACK', 'CRONOS', 'FIORINO', 'TITANO', 'PALIO WEEKEND', 'PUNTO', 'GRAND SIENA', 'DOBLO', 'SCUDO', 'IDEA', 'SIENA']"
FORD,"['ECOSPORT', 'F-250', 'BRONCO SPORT', 'TERRITORY', 'RANGER', 'FUSION', 'FOCUS', 'KA', 'FIESTA']"
HONDA,"['CITY', 'HR-V', 'FIT', 'CIVIC', 'CRV', 'ACCORD']"
HYUNDAI,"['HB20', 'CRETA', 'TUCSON', 'SANTA FE', 'IX35', 'HB20S', 'HR', 'HB20X', 'AZERA', 'I30']"
JAGUAR,['XE']
JEEP,"['COMPASS', 'COMMANDER', 'RENEGADE', 'GRAND CHEROKEE']"
KIA,"['SPORTAGE', 'SOUL', 'CERATO', 'SORENTO']"
LAND,"['ROVER DISCOVERY SPORT', 'ROVER RANGE ROVER EVOQUE', 'ROVER DISCOVERY', 'ROVER DISCOVERY 4']"
MERCEDES-BENZ,"['C 180', 'CLA 180', 'GLA 200', 'GLA 250', 'A 250', 'GLB 200', 'C 250', 'E 250', 'C 200', 'A 200', 'B 200']"
MINI,['COOPER']
MITSUBISHI,"['OUTLANDER', 'L200 TRITON', 'PAJERO DAKAR', 'PAJERO FULL', 'ASX', 'PAJERO SPORT', 'PAJERO TR4', 'ECLIPSE CROSS', 'L200 OUTDOOR', 'L200', 'PAJERO']"
NISSAN,"['KICKS', 'VERSA', 'LEAF', 'SENTRA']"
PEUGEOT,"['EXPERT', '3008', 'PARTNER RAPID', '208', '308', '2008', '406']"
RENAULT,"['CAPTUR', 'DUSTER', 'OROCH', 'KARDIAN', 'KWID', 'SANDERO', 'LOGAN', 'LAGUNA', 'FLUENCE', 'DUSTER OROCH', 'STEPWAY']"
SUZUKI,"['VITARA', 'JIMNY']"
TOYOTA,"['HILUX', 'COROLLA', 'COROLLA CROSS', 'YARIS', 'RAV4', 'ETIOS', 'HILUX SW4']"
TROLLER,['T4']
VOLKSWAGEN,"['GOL', 'GOLF', 'NIVUS', 'T-CROSS', 'VIRTUS', 'TIGUAN', 'JETTA', 'SAVEIRO', 'POLO HATCH', 'VOYAGE', 'UP', 'AMAROK', 'PARATI', 'CROSSFOX', 'TAOS', 'CROSS UP', 'PASSAT VARIANT', 'FOX', 'NEW BEETLE']"
VOLVO,"['XC60', 'XC90', 'XC40']"
WILLYS,['JEEP']
